,symbol,volatility,sma,drawdown,score,trade type,risk_category,Company_name,Company_longname
6,HINDUNILVR.NS,0.010737098508982393,2352.189978027344,-0.02936443791218932,135,Delivery,Low Risk,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited
5,BEL.NS,0.010584605711869276,408.0650009155273,-0.022214231287599803,135,Delivery,Low Risk,BHARAT ELECTRONICS LTD,Bharat Electronics Limited
4,AXISBANK.NS,0.010557329215035138,1271.6200134277344,-0.025858741798533386,135,Delivery,Low Risk,AXIS BANK LIMITED,Axis Bank Limited
10,SBIN.NS,0.00805039194531749,1002.8050048828125,-0.020512340674524423,135,Delivery,Low Risk,STATE BANK OF INDIA,State Bank of India
40,BANKBARODA.NS,0.012002211063248506,300.4424987792969,-0.028223883883313056,135,Delivery,Low Risk,BANK OF BARODA,Bank of Baroda Limited
74,LUPIN.NS,0.012206686797743423,2145.4899780273436,-0.020774059064102266,135,Delivery,Low Risk,LUPIN LIMITED,Lupin Limited
52,UNIONBANK.NS,0.022608930250850093,162.6374984741211,-0.029279114192123132,125,Intraday,Low Risk,UNION BANK OF INDIA,Union Bank of India
21,NESTLEIND.NS,0.010079831300965044,,-0.018334777479021968,120,Delivery,Low Risk,NESTLE INDIA LIMITED,Nestlé India Limited
30,HYUNDAI.NS,0.013049900662294021,2312.1900024414062,-0.04140560915669983,120,Delivery,Low Risk,HYUNDAI MOTOR INDIA LTD,
56,GODREJCP.NS,0.0076667658232945765,,-0.021610825826106458,120,Delivery,Low Risk,GODREJ CONSUMER PRODUCTS,Godrej Consumer Products Limited
29,SBILIFE.NS,0.008943299121833649,2056.7400085449217,-0.023307865750119162,120,Delivery,Low Risk,SBI LIFE INSURANCE CO LTD,SBI Life Insurance Company Limited
50,CANBK.NS,0.010855964785743091,152.8390007019043,-0.031566711471484654,120,Delivery,Low Risk,CANARA BANK,Canara Bank
34,SHRIRAMFIN.NS,0.013289373489595564,987.3149993896484,-0.045993943172122194,120,Delivery,Low Risk,SHRIRAM FINANCE LIMITED,Shriram Finance Limited
185,HCLTECH.NS,0.011802524613784882,1645.2147888183595,-0.04006689048170354,120,Delivery,Low Risk,HCL TECHNOLOGIES LTD,HCL Technologies Limited
162,BALKRISIND.NS,0.009942454469308842,,-0.016173999027467627,120,Delivery,Low Risk,BALKRISHNA IND. LTD,Balkrishna Industries Limited
142,COLPAL.NS,0.013652046749106646,,-0.0294307151773416,120,Delivery,Low Risk,COLGATE PALMOLIVE LTD.,Colgate-Palmolive (India) Limited
25,TATASTEEL.NS,0.01640381246526087,181.0400016784668,-0.041890457462928805,110,Delivery,Low Risk,TATA STEEL LIMITED,Tata Steel Limited
47,PNB.NS,0.01559362460606829,124.55899963378906,-0.0497884854706609,110,Delivery,Low Risk,PUNJAB NATIONAL BANK,Punjab National Bank
45,TECHM.NS,0.018386702888727163,1616.6050048828124,-0.03285318761013638,110,Intraday,Low Risk,TECH MAHINDRA LIMITED,Tech Mahindra Limited
49,ICICIAMC.NS,0.021272446844813473,2703.860009765625,-0.03665477692258559,110,Intraday,Low Risk,ICICI PRUDENTIAL AMC LTD,
28,HINDALCO.NS,0.016737948148638743,912.2725067138672,-0.04383124201960069,110,Delivery,Low Risk,HINDALCO  INDUSTRIES  LTD,Hindalco Industries Limited
42,TATACAP.NS,0.017246835698384626,351.1299987792969,-0.03567969667273557,110,Delivery,Low Risk,TATA CAPITAL LIMITED,
15,JSWSTEEL.NS,0.01609503801423702,,-0.02849220291044012,110,Delivery,Low Risk,JSW STEEL LIMITED,JSW Steel Limited
17,VEDL.NS,0.01909158103732319,626.9100036621094,-0.030054663838240164,110,Intraday,Low Risk,VEDANTA LIMITED,Vedanta Limited
1,INFY.NS,0.01643712749424238,1632.210009765625,-0.040579535294750925,110,Delivery,Low Risk,INFOSYS LIMITED,Infosys Limited
0,NTPC.NS,0.016632817830899364,338.50999908447267,-0.045725662665232404,110,Delivery,Low Risk,NTPC LTD,NTPC Limited
37,TMCV.NS,0.01663764121768669,426.06499938964845,-0.04092709124593697,110,Delivery,Low Risk,TATA MOTORS LIMITED,
138,SAIL.NS,0.02353753213205775,145.00800094604492,-0.04618215974922895,110,Intraday,Low Risk,STEEL AUTHORITY OF INDIA,Steel Authority of India Limited
109,BANKINDIA.NS,0.016913012882826248,148.28150024414063,-0.036966175328103236,110,Delivery,Low Risk,BANK OF INDIA,Bank of India Limited
137,MCX.NS,0.021242694584056834,2266.4299926757812,-0.04945770065075922,110,Intraday,Low Risk,MULTI COMMODITY EXCHANGE,Multi Commodity Exchange of India Limited
155,MAHABANK.NS,0.017684400882051976,61.786165428161624,-0.03755434938078906,110,Delivery,Low Risk,BANK OF MAHARASHTRA,Bank of Maharashtra
11,ONGC.NS,0.015957456815948182,239.12600021362306,-0.043284142573573395,110,Delivery,Low Risk,OIL AND NATURAL GAS CORP.,Oil and Natural Gas Corporation Limited
35,VBL.NS,0.012342953719338471,492.6575012207031,-0.0406121477560869,105,Delivery,Low Risk,VARUN BEVERAGES LIMITED,Varun Beverages Limited
83,ABCAPITAL.NS,0.011067386698061085,,-0.034269149759916614,105,Delivery,Low Risk,ADITYA BIRLA CAPITAL LTD.,Aditya Birla Capital Limited
132,HDBFS.NS,0.011908001898004013,760.0450042724609,-0.04960074140891469,105,Delivery,Low Risk,HDB FINANCIAL SERVICES L,
75,MARICO.NS,0.01207637938733098,,-0.03786663303027941,105,Delivery,Low Risk,MARICO LIMITED,Marico Limited
12,BAJAJFINSV.NS,0.008869235758236936,,-0.04201312014074804,105,Delivery,Low Risk,BAJAJ FINSERV LTD.,Bajaj Finserv Ltd.
18,ICICIBANK.NS,0.012562436419685772,1384.7950134277344,-0.042588692534359776,105,Delivery,Low Risk,ICICI BANK LTD.,ICICI Bank Limited
108,IDFCFIRSTB.NS,0.00981116047925408,84.45550003051758,-0.04624147055937459,105,Delivery,Low Risk,IDFC FIRST BANK LIMITED,IDFC First Bank Limited
193,PIIND.NS,0.011256031007096663,,-0.04088092909480982,105,Delivery,Low Risk,PI INDUSTRIES LTD,PI Industries Limited
153,APLAPOLLO.NS,0.013418838646378396,,-0.040558388027442896,105,Delivery,Low Risk,APL APOLLO TUBES LTD,APL Apollo Tubes Limited
