,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,regularMarketChangePercent,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,averageAnalystRating,dividendYield,bid,ask,marketCap,financialCurrency,shortName,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,symbol,prevName,nameChangeDate
0,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,-0.061696216,NSI,1611.8,1114.85,1.4 - Strong Buy,0.38,0.0,0.0,19729718706176,INR,RELIANCE INDUSTRIES LTD,-0.9000244,1768557600,1457.9,1480.0,1455.1 - 1480.0,1455.1,17164729,1458.8,0.0,0.0,in_market,finmb_878373,NSE,Reliance Industries Limited,1458.8,10440923,11589106,[],343.05005,0.3077096,1114.85 - 1611.8,-153.90002,-0.095483325,12.012899,False,820467900000,2,1768557600.0,1768557600.0,1768557600.0,1745592300.0,1745592300.0,False,0.0,23.736568,5.5,0.0,POSTPOST,61.42,67.22217,59.73182,24.407427,13532472634,648.12,1533.868,-75.96802,-0.049527086,1441.2393,16.660767,0.011560028,21.687786,2.2494292,15,15,Asia/Kolkata,IST,19800000,False,False,False,RELIANCE.NS,,
1,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,0.6105098,NSI,1020.5,812.725,1.4 - Strong Buy,1.19,0.0,0.0,14324514947072,INR,HDFC BANK LTD,5.6499634,1768557600,931.1,935.95,919.2 - 935.95,919.2,37776844,925.45,0.0,0.0,in_market,finmb_101677,NSE,HDFC Bank Limited,922.0,20044838,28131983,[],118.375,0.14565198,812.725 - 1020.5,-89.400024,-0.08760414,13.083851,False,820467900000,2,1768644000.0,1768644000.0,1768644000.0,1768653000.0,1768653000.0,False,11.0,21.27256,11.0,0.01188611,POSTPOST,43.77,57.65,49.15,18.944048,15384507599,354.079,986.904,-55.804016,-0.056544524,979.23474,-48.134766,-0.049155492,16.15091,2.629639,15,15,Asia/Kolkata,IST,19800000,False,False,False,HDFCBANK.NS,,
2,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,-0.30160573,NSI,2174.5,1559.5,1.7 - Buy,0.79,0.0,0.0,12282053525504,INR,BHARTI AIRTEL LIMITED,-6.0999756,1768557599,2016.4,2029.7,1988.7 - 2029.7,1988.7,7310472,2022.5,0.0,0.0,in_market,finmb_135466,NSE,Bharti Airtel Limited,2020.0,7365706,4757904,[],456.90002,0.29297853,1559.5 - 2174.5,-158.09998,-0.07270636,24.270355,False,1025495100000,2,1770285600.0,1770285600.0,1770285600.0,1762241400.0,1762241400.0,False,16.0,31.349503,16.0,0.007911001,POSTPOST,64.32,68.25557,46.97114,42.928486,5698969219,203.273,2095.478,-79.078,-0.03773745,1958.3857,58.014282,0.029623521,29.541912,9.919665,15,15,Asia/Kolkata,IST,19800000,False,False,False,BHARTIARTL.NS,,
3,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,0.44479096,NSI,4191.35,2866.6,2.0 - Buy,1.97,0.0,0.0,11602121195520,INR,TATA CONSULTANCY SERV LT,14.199951,1768557600,3206.7,3221.9,3171.0 - 3221.9,3171.0,4293254,3192.5,0.0,0.0,in_market,finmb_6411769,NSE,Tata Consultancy Services Limited,3219.4,2685177,2719473,"[{'header': 'Dividend', 'message': 'TCS.NS announced a cash dividend of 57.00 with an ex-date of Jan. 16, 2026', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1768501800000, 'amount': '57.00'}}]",340.09985,0.11864224,2866.6 - 4191.35,-984.65015,-0.23492433,-22.592926,False,1029123900000,2,1768212000.0,1775728800.0,1775728800.0,1768224600.0,1768224600.0,True,63.0,24.320818,63.0,0.019733751,POSTPOST,131.85,153.78317,141.90797,22.597038,3618087518,313.727,3190.836,15.864014,0.004971742,3216.7256,-10.025635,-0.0031167206,20.852087,10.221307,15,15,Asia/Kolkata,IST,19800000,False,False,False,TCS.NS,,
4,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,-0.5358133,NSI,1500.0,1186.0,1.3 - Strong Buy,0.78,0.0,0.0,10090297950208,INR,ICICI BANK LTD.,-7.5999756,1768557600,1410.8,1429.0,1400.2 - 1429.0,1400.2,12530789,1418.4,0.0,0.0,in_market,finmb_411168,NSE,ICICI Bank Limited,1417.9,11231573,11886927,[],224.80005,0.18954472,1186.0 - 1500.0,-89.19995,-0.059466634,15.7452345,False,1025495100000,2,1768644000.0,1768644000.0,1768644000.0,1768649400.0,1768649400.0,False,0.0,19.090664,11.0,0.0,POSTPOST,73.9,80.73315,72.34082,19.502129,7152180992,469.65,1373.644,37.156006,0.027049225,1405.515,5.285034,0.0037602119,17.474855,3.0039392,15,15,Asia/Kolkata,IST,19800000,False,False,False,ICICIBANK.NS,,
5,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,1.3565491,NSI,1047.45,680.0,1.5 - Strong Buy,1.55,0.0,0.0,9621072773120,INR,STATE BANK OF INDIA,13.950073,1768557600,1042.3,1047.45,1028.4 - 1047.45,1028.4,11050380,1028.35,0.0,0.0,in_market,finmb_874487,NSE,State Bank of India,1032.0,9388555,8108636,[],362.30005,0.5327942,680.0 - 1047.45,-5.1499023,-0.0049166093,34.583176,False,820467900000,2,1762250400.0,1770285600.0,1770285600.0,1762256700.0,1762256700.0,True,15.9,11.596574,15.9,0.015461662,POSTPOST,89.88,89.56649,81.26006,12.826719,9230617586,616.765,976.092,66.20807,0.06782974,862.77075,179.5293,0.20808458,11.637165,1.6899468,15,15,Asia/Kolkata,IST,19800000,False,False,False,SBIN.NS,,
6,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,5.6257033,NSI,1924.0,1307.0,1.8 - Buy,2.81,0.0,0.0,6836226883584,USD,INFOSYS LIMITED,90.0,1768557600,1689.8,1694.0,1653.4 - 1694.0,1653.4,19333804,1599.8,0.0,0.0,in_market,finmb_398006,NSE,Infosys Limited,1663.7,8121269,5445733,[],382.80005,0.2928845,1307.0 - 1924.0,-234.19995,-0.121725544,-11.878597,False,820467900000,2,1768384800.0,1768384800.0,1768384800.0,1768393800.0,1768393800.0,False,0.52,24.338182,45.0,0.0003250406,POSTPOST,69.43,76.27375,70.46642,23.980217,4045583410,205.80807,1586.222,103.578,0.06529855,1536.2985,153.50159,0.09991652,22.154411,8.210563,15,15,Asia/Kolkata,IST,19800000,False,False,False,INFY.NS,,
7,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,0.45456818,NSI,1102.5,715.63,2.3 - Buy,0.47,0.0,0.0,5905931829248,INR,BAJAJ FINANCE LIMITED,4.299988,1768557601,950.25,963.0,936.8 - 963.0,936.8,10709450,945.95,0.0,0.0,in_market,finmb_881576,NSE,Bajaj Finance Limited,940.2,6673208,6818513,[],234.62,0.32785097,715.63 - 1102.5,-152.25,-0.13809524,31.709385,False,1025495100000,2,1770112800.0,1770112800.0,1770112800.0,1770121800.0,1770121800.0,False,4.4,32.299458,4.4,0.0046514086,POSTPOST,29.42,41.34946,32.97186,28.82003,6215134963,166.188,1006.035,-55.784973,-0.05545033,958.5955,-8.34552,-0.008705987,22.980953,5.7179217,15,15,Asia/Kolkata,IST,19800000,False,False,False,BAJFINANCE.NS,,
8,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,0.29317623,NSI,2750.0,2136.0,1.9 - Buy,1.83,0.0,0.0,5546085187584,INR,HINDUSTAN UNILEVER LTD.,6.8999023,1768557601,2360.4,2372.9,2348.9 - 2372.9,2348.9,1367601,2353.5,0.0,0.0,in_market,finmb_878395,NSE,Hindustan Unilever Limited,2370.0,1544726,1151208,[],224.3999,0.10505614,2136.0 - 2750.0,-389.6001,-0.14167276,-0.021243095,False,820467900000,2,1761213600.0,1769508000.0,1769508000.0,1745490600.0,1745490600.0,True,43.0,50.914577,43.0,0.01827066,POSTPOST,46.36,50.13633,45.12568,52.307243,2349591262,207.383,2369.296,-8.895996,-0.0037547003,2437.0295,-76.62964,-0.031443868,47.07963,11.381839,15,15,Asia/Kolkata,IST,19800000,False,False,False,HINDUNILVR.NS,,
9,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,INR,-0.24316174,NSI,4195.0,2965.3,1.7 - Buy,0.88,0.0,0.0,5304790024192,INR,LARSEN & TOUBRO LTD.,-9.4001465,1768557600,3856.4,3914.0,3848.7 - 3914.0,3848.7,1807111,3865.8,0.0,0.0,in_market,finmb_874836,NSE,Larsen & Toubro Limited,3890.0,1583353,1825703,[],891.09985,0.30050915,2965.3 - 4195.0,-338.6001,-0.08071516,8.3266735,False,1025495100000,2,1761732000.0,1769680800.0,1769680800.0,1746701940.0,1746701940.0,True,0.0,32.38767,34.0,0.0,POSTPOST,119.07,160.3276,132.09087,29.195053,1375580872,736.989,4029.376,-172.97607,-0.04292875,3706.0356,150.36426,0.040572803,24.05325,5.232642,15,15,Asia/Kolkata,IST,19800000,False,False,False,LT.NS,,
