,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,financialCurrency,shortName,regularMarketChangePercent,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,ask,marketCap,bid,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,averageAnalystRating,dividendYield,symbol,prevName,nameChangeDate
0,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,RELIANCE INDUSTRIES LTD,-2.2202954,FALSE,8.20468E+11,2,-33.399902,1767861760,1470.8,1503.9,1468.8 - 1503.9,1468.8,11786494,1504.2,0,0,in_market,finmb_878373,NSE,Reliance Industries Limited,1500,10275876,9244790,[],355.95007,0.31928068,1114.85 - 1611.8,-141,-0.08747984,19.88045,1760695200,1768471200,1768471200,1745592300,1745592300,TRUE,0,23.966108,5.5,0,REGULAR,61.37,67.49138,59.92513,24.54396,13532472634,648.12,1535.17,-64.369995,-0.041930206,1434.469,36.331055,0.02532718,21.792414,2.269333,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,1470.9,1.99043E+13,1470.7,NSI,1611.8,1114.85,1.4 - Strong Buy,0.37,RELIANCE.NS,,
1,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,HDFC BANK LTD,-0.01580142,FALSE,8.20468E+11,2,-0.14996338,1767861760,948.9,953,941.4 - 953.0,941.4,15789197,949.05,0,0,in_market,finmb_101677,NSE,HDFC Bank Limited,944.7,19189732,22047812,[],136.75,0.16838022,812.15 - 1020.5,-71.599976,-0.07016166,13.808608,1768644000,1768644000,1768644000,1760790600,1760790600,FALSE,11,21.689144,11,0.011590538,REGULAR,43.75,57.65,49.15,19.306206,15384537807,354.079,992.167,-43.266968,-0.043608554,978.0675,-29.16748,-0.029821541,16.459671,2.6799104,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,948.95,1.45984E+13,948.95,NSI,1020.5,812.15,1.4 - Strong Buy,1.16,HDFCBANK.NS,,
2,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,BHARTI AIRTEL LIMITED,-0.7964999,FALSE,1.0255E+12,2,-16.599854,1767861758,2067.6,2092,2055.0 - 2092.0,2055,3680143,2084.2,0,0,in_market,finmb_135466,NSE,Bharti Airtel Limited,2088,7168066,3844648,[],508.1001,0.32580963,1559.5 - 2174.5,-106.8999,-0.04916068,29.691051,1770285600,1770285600,1770285600,1762241400,1762241400,FALSE,16,32.210625,16,0.007676807,REGULAR,64.19,67.88557,47.45744,43.56746,5698969219,203.273,2100.17,-32.569824,-0.015508185,1950.512,117.088135,0.060029436,30.457138,10.171543,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,2067.7,1.25939E+13,2067.2,NSI,2174.5,1559.5,1.7 - Buy,0.77,BHARTIARTL.NS,,
3,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,TATA CONSULTANCY SERV LT,-2.8548052,FALSE,1.02912E+12,2,-94.1001,1767861761,3201.5,3286.9,3182.0 - 3286.9,3182,3251470,3295.6,0,0,in_market,finmb_6411769,NSE,Tata Consultancy Services Limited,3286.9,2779440,2123321,[],334.8999,0.11682826,2866.6 - 4322.95,-1121.4502,-0.2594178,-18.402517,1768212000,1768212000,1768212000,1768224600,1768224600,FALSE,62,23.407911,62,0.018812962,REGULAR,136.77,152.81805,142.60503,22.45012,3618087518,294.119,3170.41,31.090088,0.00980633,3218.7473,-17.247314,-0.005358393,20.949749,10.885051,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,3201.7,1.15833E+13,3203.2,NSI,4322.95,2866.6,2.0 - Buy,1.88,TCS.NS,,
4,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,ICICI BANK LTD.,0.7635209,FALSE,1.0255E+12,2,10.900024,1767861760,1438.6,1440.5,1423.3 - 1440.5,1423.3,11526664,1427.7,0,0,in_market,finmb_411168,NSE,ICICI Bank Limited,1429,10886255,9560172,[],252.59998,0.2129848,1186.0 - 1500.0,-61.400024,-0.04093335,13.094103,1768644000,1768644000,1768644000,1760787000,1760787000,FALSE,0,19.453686,11,0,REGULAR,73.95,80.70841,72.34082,19.886421,7150973992,469.65,1366.046,72.553955,0.05311238,1402.7415,35.85852,0.025563171,17.82466,3.063132,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,1438.6,1.02874E+13,1438.8,NSI,1500,1186,1.4 - Strong Buy,0.77,ICICIBANK.NS,,
5,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,STATE BANK OF INDIA,-0.8641252,FALSE,8.20468E+11,2,-8.700012,1767861760,998.45,1011.6,996.05 - 1011.6,996.05,4882402,1007.15,0,0,in_market,finmb_874487,NSE,State Bank of India,1006.6,9502167,7756570,[],318.45,0.46830884,680.0 - 1024.0,-25.549988,-0.02495116,32.44132,1762250400,1762250400,1762250400,1762256700,1762256700,FALSE,15.9,11.10129,15.9,0.01578712,REGULAR,89.94,89.79421,81.58478,12.23819,9230617586,616.765,969.408,29.041992,0.029958481,856.44025,142.00977,0.16581398,11.119313,1.61885,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,998.45,9.21631E+12,998.1,NSI,1024,680,1.5 - Buy,1.58,SBIN.NS,,
6,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,USD,INFOSYS LIMITED,-1.6351464,FALSE,8.20468E+11,2,-26.800049,1767861758,1612.2,1644.3,1611.0 - 1644.3,1611,2525736,1639,0,0,in_market,finmb_398006,NSE,Infosys Limited,1638.9,8052170,4786587,[],305.19995,0.23351182,1307.0 - 1982.8,-370.6001,-0.18690746,-14.515203,1768384800,1768384800,1768384800,1768393800,1768393800,FALSE,0.52,22.6115,45,0.000317267,REGULAR,71.3,75.51562,69.97686,23.039043,4045576496,253.06528,1573.728,38.471924,0.02444636,1532.075,80.125,0.052298356,21.349226,6.370688,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,1612.1,6.52228E+12,1611.5,NSI,1982.8,1307,1.8 - Buy,2.75,INFY.NS,,
7,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,BAJAJ FINANCE LIMITED,0.123865835,FALSE,1.0255E+12,2,1.2000122,1767861758,970,978.35,965.3 - 978.35,965.3,2996894,968.8,0,0,in_market,finmb_881576,NSE,Bajaj Finance Limited,968.5,6803512,7623839,[],259.47998,0.36519727,710.52 - 1102.5,-132.5,-0.120181404,33.123554,1762768800,1769594400,1769594400,1762779600,1762779600,TRUE,4.4,32.93718,4.4,0.004541701,REGULAR,29.45,41.38188,33.90663,28.607973,6215134963,166.188,1015.511,-45.510986,-0.04481585,956.4233,13.576721,0.014195306,23.44021,5.836763,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,969.95,6.02868E+12,969.9,NSI,1102.5,710.52,2.4 - Buy,0.45,BAJFINANCE.NS,,
8,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,LARSEN & TOUBRO LTD.,-1.3254455,FALSE,1.0255E+12,2,-55.100098,1767861759,4101.9,4169.9,4098.0 - 4169.9,4098,822929,4157,0,0,in_market,finmb_874836,NSE,Larsen & Toubro Limited,4160,1527051,1111060,[],1136.5999,0.38330013,2965.3 - 4195.0,-93.1001,-0.02219311,17.832136,1761732000,1769680800,1769680800,1746701940,1746701940,TRUE,0,34.380184,34,0,REGULAR,119.31,160.94012,132.29875,31.004827,1375580872,736.989,4029.814,72.08594,0.017888155,3686.727,415.17285,0.11261285,25.487118,5.5657544,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,4100.6,5.6425E+12,4100.6,NSI,4195,2965.3,1.7 - Buy,0.82,LT.NS,,
9,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,HINDUSTAN UNILEVER LTD.,-0.15003142,FALSE,8.20468E+11,2,-3.5998535,1767861759,2395.8,2418.1,2368.1 - 2418.1,2368.1,659922,2399.4,0,0,in_market,finmb_878395,NSE,Hindustan Unilever Limited,2389,1539541,1117228,[],259.80005,0.12162924,2136.0 - 2750.0,-354.19995,-0.12879997,-1.4781952,1761213600,1769076000,1769076000,1745490600,1745490600,TRUE,43,51.733967,43,0.017921148,REGULAR,46.31,50.13633,45.12568,53.091724,2349591262,207.383,2376.856,18.944092,0.007970232,2434.3757,-38.575684,-0.015846232,47.78571,11.552539,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,2396.3,5.62926E+12,2394.5,NSI,2750,2136,1.9 - Buy,1.79,HINDUNILVR.NS,,
